id,intent,expected_action,expected_reason
161,delivery_issue,ESCALATE,Ship notice received but CD never arrived.
162,order_status,AUTO_HANDLE,Status stuck on dispatching soon with only vague date; clear status concern.
163,other,AUTO_HANDLE,Package arrived; feedback on LaserShip and Prime ship options.
164,other,AUTO_HANDLE,Joking about receiving Amazon credit card; no support request.
165,other,ESCALATE,Incomplete Black Friday sale mention with no clear ask.
166,refund_return,AUTO_HANDLE,How to return faulty Rocket Dog boots; clear return how-to.
167,delivery_issue,AUTO_HANDLE,Spanish Mario Odyssey not arriving at office before weekend; late/missing delivery worry.
168,refund_return,ESCALATE,Duplicate Nintendo delivery charged twice; auto-email denies refund.
169,delivery_issue,ESCALATE,Parcel left visible outside and contents damaged; damage plus unsafe leave.
170,delivery_issue,ESCALATE,Prime delivery arrived with security tags still attached; fulfillment quality issue.
171,complaint,ESCALATE,Angry complaint about terrible game stream and app quality.
172,other,ESCALATE,Link-only mention with no stated problem; ambiguous.
173,complaint,ESCALATE,"Angry packaging/waste complaint; needs judgment, not auto-reply."
174,product_question,AUTO_HANDLE,Japanese ask whether Kindle needs Wi-Fi to download; clear product how-to.
175,refund_return,ESCALATE,Refund requested but told to return item never received; conflicting return case.
176,account_access,ESCALATE,Cannot retrieve password; account recovery is sensitive.
177,delivery_issue,ESCALATE,Driver cannot find house despite visible number; needs carrier follow-up.
178,other,ESCALATE,Fragment about something on site plus link; missing prior context.
179,other,AUTO_HANDLE,Praises free replacement after wrong-address preorder; positive feedback.
180,other,ESCALATE,Vague what about the illusion of quality with no actionable detail.
181,delivery_issue,ESCALATE,Prime delivery cancelled at last moment; angry failed-delivery complaint.
182,refund_return,ESCALATE,Cancelled undelivered laptop; seeking confirmation of refund timeline.
183,delivery_issue,AUTO_HANDLE,Asks recourse if shipment misses guaranteed delivery date; clear policy question.
184,technical_issue,ESCALATE,Teases about reporting a system bug without details; vague technical claim.
185,complaint,ESCALATE,Waited hours after complaint form with no help; angry service failure.
186,complaint,ESCALATE,Hour-long hold then disconnect; demands ban; severe CS complaint.
187,order_status,ESCALATE,Says tracking is assumption not real status; frustrated accuracy complaint.
188,account_access,ESCALATE,No specialist email while account on hold; account-hold follow-up is sensitive.
189,complaint,ESCALATE,Calls festival experience a scam; angry scam/service allegation.
190,payment_issue,ESCALATE,Charged for Prime after cancelling subscription; unauthorized billing.
191,other,AUTO_HANDLE,Praise for top-notch customer service; no issue.
192,payment_issue,ESCALATE,Unordered item may be scam and not on account; possible fraud.
193,other,AUTO_HANDLE,Portuguese excitement about buying nine books; no support ask.
194,payment_issue,ESCALATE,Rewards points could not re-apply after address edit; checkout/rewards billing glitch.
195,payment_issue,ESCALATE,Bank charges continue after Amazon closed account; high-risk unauthorized billing.
196,delivery_issue,ESCALATE,Two consecutive late/unshipped/out-of-stock failures; recurring delivery failure.
197,complaint,ESCALATE,Demands a direct answer instead of links; prior question unknown.
198,product_question,AUTO_HANDLE,Echo in India has no Alexa option to connect Fire TV; compatibility question.
199,other,ESCALATE,One-word Nope reply with no standalone context.
200,complaint,ESCALATE,French sarcasm about Twitter responsiveness with screenshot; service complaint.
