id,conversation_id,customer_message,agent_reply,intent,expected_action,expected_reason
19,2873349,Weird having an intercom in my house but this is so awesome!! #Alexa is awesome!!! Thanks @115821 for making my smart home affordable 😊✌🤙,@797736 We're so glad you love your Echo! Don't forget to ask her the joke of the day or what her favorite book is! She has many skills!  😁  🎵   ^SE,,,
20,2724967,@AmazonHelp os mando la incidencia por privado (soy bueno) 😉,@764256 Claro. Dentro de poco responderemos tu mensaje directo. ^HC,,,
21,1389493,@AmazonHelp,@443234 We haven't made any announcement on the same at the moment. Winners will be communicated personally from our end. ^CB,,,
22,58143,"So I accidentally ordered a bed frame I already own on @115821 & I immediately cancelled. It never shipped, I still got charged? @AmazonHelp","@129198 Hey there! if the order never shipped, then what you're seeing is an authorization. Learn more: https://t.co/cMA9xNiv9x ^JE",,,
23,2429414,@AmazonHelp Its not opening??,"@311015 I'm sorry to hear that you're unable to access the link. Please try this once: https://t.co/Y6FdEcyP9L and let us know if the issue still persists. Also, could you please help us with the name of the app contests so that we can check this further for you? ^VN",,,
24,1780042,@AmazonHelp It's shipped from amazon I'm returning it but it's frustrating that I waited so long to get the money for it and get screwed over,"@487769 We're sorry for the trouble, please let us know if you need any assistance with this return. ^WM",,,
25,2195590,@AmazonHelp yes i have a confirmation from josh.f  accountchange@amazon and later an order confirmation but after that nothing at all. last email was an order confirmation,"@642399 Please give us a call at 1-866-216-1072. If you have the order #, please have it handy as it will assist us in locating your account. Please let us know how it goes. ^EZ",,,
26,2310063,@AmazonHelp Gracias por la pronta respuesta. Slds.,"@669977 Con gusto, Fabricio. Estamos para ayudarte ^AR",,,
27,317248,BIGGEST SCAM IN AMAZON LIVE. BUT NO ONE READY TO TAKE ACTION TODAY'S NEW FAKE ORDER TOTAL -80 @AmazonHelp @115851 @132981 @4822 https://t.co/hElUsfj19O,@191711 https://t.co/VfdY0ghuEA so that we have more info on this. (2/2) ^VM,,,
28,738456,@115830 when can I pre order Dunkirk? Film released months ago and unable 2 pre order yet. Any advise #dunkirk,"@296615 Sorry, the website will be updated as soon as we have it available to pre-order. ^JJ",,,
29,2102684,"明らかに怪しい。ケータイの電話番号もMMSのメアドもAmazonに登録してへんから明らかに怪しいやつ!!
一体どこから電話番号が漏れたのやら。 https://t.co/GLxNO5rSwN",@620909 失礼いたします。ご存知かと存じますが当サイトからそのようなメールをお送りすることはございません。当サイトの名をかたるフィッシング行為が増えているようです。連絡先に電話をしたりしないようお気を付けください。https://t.co/k4jy2iTq1Y  SM,,,
30,1128019,Very disappointed with @115821's customer service 😴,"@385940 Oh no! This isn't what we like to hear. Without giving account/personal details, please let us know what's going on. ^BH",,,
31,206000,@AmazonHelp Please read this conversation thread. We've been through this already,@164791 Hey. Please forward you details here - https://t.co/mk7tow11c4 a specialist would like to look into your concern further. ^TP,,,
32,1267615,@115850 My prime membership is going to expire on Nov 16. Can I buy membership before expiration date?,@416807 Unfortunately no. ^PS,,,
33,224767,"@AmazonHelp No one has made contact with me!! 
Is it not ""within 12 business hours"" and ""Earliest"" yet?",@169701 You must have received a correspondence from us on this. Please find it here: https://t.co/ubzNHWZvL2. ^YP,,,
34,565834,My delivery is supposed to arrive before 8:00 @115821 ..... 90 seconds and counting .....,@252627 I'm so sorry for the delay! What's the current tracking shown here: https://t.co/Y5jpI9gRhE ^AG,,,
35,2303334,"@AmazonHelp just got off the phone with cs. They said the comp was going to give me a refund & I could reorder but it was ""lost in transit""",@405606 Thank you for letting us know; I'm sorry your package was lost in transit. Please keep us in the loop on your refund and the reordered shipment. ^ST,,,
36,29515,"@AmazonHelp Then try using the app, select language as English, IVR would state the unnecessary status info about the last the order, no further options","@122486 Sorry to learn that, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU",,,
37,2819216,@115821 i love you $5 field and stream magazine 1 yr subscription,@785818 I've been herring rumors that it's a fintastic magazine! ^KL,,,
38,915389,I bought an iPhone 7 from @115850 and got a micromax phone in an intek box. It's been 7 Days No one picked up the product for replacement.,@337350 I'm sorry about the wrong item delivered and delay with the return. Have you contacted our team here: https://t.co/vlvfJr4nN9 ? ^GK,,,
39,2229749,@AmazonHelp Thanks. Am i correct that these are TV series rather than any films?,@360117 Your purchased film downloads will be available to watch abroad! You also have the option to watch select Prime shows.  ^FD,,,
40,1427393,"@AmazonHelp Order date
29-Oct-2017
Order #
407-0026486-1183576
Order total
   1,199.00 (1 item)","@451575 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",,,
41,283504,@115851 stop outsourcing business to India as they do not deserve to work for such a big brand @AmazonHelp @115850,"@178550 We don't expect you to have such an experience. Kindly let us know, where did we go wrong. We'll work on it. ^CB",,,
42,2499115,@AmazonHelp will the #OnePlus5T be available for pre-orders tomorrow after launch or it'll go for sale directly on 21/28 Nov?,@250919 We have responded to you here : https://t.co/u9LesHsfx4 . Please check. ^SS,,,
43,745087,@AmazonHelp My book is becoming unbound and it is really bad where I feel like the cover is coming off. I'm lost about how to proceed,@298116 I'm sorry to hear about your rental coming apart! How long have you had it? ^TR,,,
44,1469131,"@AmazonHelp Amazon lost it at the warehouse then shifts del date to due date+3 no updates, no pkg, order refunded after wasting 4days time.",@461006 Please contact us via phone or chat so we can explore available options with you:  https://t.co/hApLpMlfHN ^MW,,,
45,179169,@115850 worst cust service.Order still nt deliver.No info of tracking num.they jst focus on sale.Hardly matter seller is genuine or not.,@158240 We ship the products to meet the estimates Chetan. Could you please tell us if we've missed the estimated delivery date? ^HN,,,
46,230075,"So @115821 refers me 2 seller, seller says I have escalated issue to Amazon. Round n round we go. Slow clap. Well done!",@170820 We've received your revert and shall reach out to you soon with an update. ^GS,,,
47,2353789,"@AmazonHelp i ordered mtr badam powder like 10 days ago still i am not hearing anything about it. When i contacted to customer care, they didn't gave any proper response.  Seriously guys is this kind of service you give nowadays.","@680127 Apologies for the inconvenience.  Kindly fill in the details on this secured link here https://t.co/GIJyeYqKE0 and as soon as we receive your details, we would connect with you. ^KK",,,
48,321389,@AmazonHelp @115850 what to do with that link i have spoken to your support team several times but they were not able to help me on that scenario,@192570 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,,,
49,453234,@AmazonHelp Received!,@222538 Excellent! We're glad you got it! ^TR,,,
50,351842,"Really disappointed with the delivery, till not received after commitment by customer service @115850 https://t.co/kZY59pGW0Z",@199685 Don't provide your order details(tracking ID) as its personal information. Our Twitter page is visible to public.(2/2)^RS,,,
51,1561935,@AmazonHelp @482486 Voice profiles too!,@482487 I've noted your comment and will be sure to forward this as a feedback internally. Thanks! ^MP,,,
52,421759,"@AmazonHelp I have already replied, called customer care still no result",@215477 Thank you for replying to the email and we shall get back to you soon. ^SH,,,
53,1719191,@AmazonHelp Still there is no update,@520458 That's strange. I'm sure you would have received an update from our team. You could check for the same here https://t.co/skS2vh4tFn. ^VM,,,
54,2918633,"Well that's a shipping status I haven't seen yet, @AmazonHelp. I really need this to come in before my surgery... https://t.co/zelOKX8MfT","@807836 I'm so sorry for the delay! We'd love to take a closer look into this but are unable to view your Amazon account through Twitter. For further information on your order, please reach us by phone or chat: https://t.co/hApLpMlfHN ^LR",,,
55,1433989,@115850 @AmazonHelp I m NT concerned abt order delivery. I want the proof that I was unavailable  because #amazon blamed me for not being at home,@446296 I'd like to help you; please provide us the details in the form provided earlier. We'll get back to you soon with an update. ^SY,,,
56,2216701,Ordered from @115850 and the package had @118702 branding. It was almost sent back since we didn't order from FK! https://t.co/XwX1PGcV70,"@647634 That's strange, have you reported this to our support team here: https://t.co/vlvfJr4nN9? ^MJ",,,
57,1480783,@115821 hi. Could you please confirm if this is a genuine email https://t.co/0A5r6g7jQY,"@463838 Hi, you can find info about phishing emails here: http:https://t.co/szbmOSyVzs. This does not appear to be genuine. ^JJ",,,
58,1406575,"returned my order n sent you courier bill copies,when u gonna initiate my refund? email : __email__ @2005 @AmazonHelp",@446941 Refund will be initiated as soon as the package reaches the fulfillment center.  ^RI (1/3),,,
59,102608,"Dear @115830 I'm not very happy that a lap top I ordered from you costing over £500 was left in my unlocked porch!  Box is all bashed in as well-also ordered it on prime, took 4 days to arrive #shoddyservice","@138538 Oh no! I'm sorry your order was delivered like this! Was anything inside damaged? If needed, return/replacement options can be found here: https://t.co/QKBu4Np3HM. Do you have an unattended delivery preference set: https://t.co/ZqUGL0dN4D? ^MB",,,
60,348803,@AmazonHelp The person I was coordinating with has stopped replying. Hence this.,@199027 Our team will get back to you with an update. Please reply to the email sent from our team.^HR,,,
61,2609228,@AmazonHelp Pas encore. Je vais le faire.,@737999 D'accord. ^SM,,,
62,2638410,@AmazonHelp Nope und bei keiner meiner kollegen. Ihr sollte mal dringend eurosport hinterfragen,"@744629 Du kannst dich gerne auch mal im Kundenservice melden, damit die Kollegen das überprüfen können. Gruß ^AN",,,
63,74786,@AmazonHelp  https://t.co/8xF9ZLGdiL,"@132737 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^HS",,,
64,1012914,@115850 can i use amazon pay with credit card emi..?,@359684 Please reach out to our support team here: https://t.co/vlvfJr4nN9 and we'll check this for you. ^HN,,,
65,282152,@AmazonHelp Tengo dos. Uno retrasado de ayer  y otro de hoy. Ninguno tiene pinta de que vayan a llegar. Incluso con confirmación de hora mediante.,"@183214 Entiendo Aimar, por favor contacta a nuestro Servicio al Cliente para reportar el inconveniente: https://t.co/OjvUxwnzPe. ^MB",,,
66,1290423,@115821 I'm a big fan but not of your recent customer service! Account was hacked last night. Wife has called 3 times and gotten run around!,@421773 I'm sorry to hear about this! Have you received any e-mail correspondence from one of our Account Specialists? ^JS,,,
67,903655,@115821 how does one go about pitching an amazing idea for your company...asking for a friend,@334516 Thanks for reaching out. You can find our policy on business proposals along with contact info here: https://t.co/9PnRK07Hre ^MV,,,
68,2124836,@AmazonHelp Thanks. Would be also great if you can provide CEC protocol for users and turn on/off the TV with Alexa,"@625781 than 10,000 skills to customers in India. We'll add them soon. 2/2 ^OS",,,
69,361320,@AmazonHelp No same message appears. 😩,"@201565 Have you tried accessing Amazon's website from a web browser? If so, which one? ^ST",,,
70,838265,"@AmazonHelp @AmazonHelp  apart from understanding concern and apologising, did u ever got a chance to say, ""we are happy to have you""?",@167356 Sorry about that Mihir. Please share your details in the link shared via DM. ^HN,,,
71,2531358,A minha vida com o Prime Video. Activar a conta que  a @115821 constantemente me cancela 😥 https://t.co/1xY4MFajSC,"@533944 Olá Mário, sentimos o inconveniente. Você já entrou em contato com Suporte ao Cliente para reportar o que indica? ^DA",,,
72,224939,@115850.Fraudalent activity- Repeatedly happening despite being PRIME members Just few days ago on 27/9 and... 1/1,@169740 Sorry to learn that order isn't delivered. Let us get it right. Have you reported this to our (1/2)^HR,,,
73,1891547,@AmazonHelp I have tried this and spoken to someone who put me through to another number which just refers me to Amazon Tickets who wouldn't help me,@564048 We'd like another chance to look into this for you Lorraine. Please reach out at the link provided above. ^VS,,,
74,2281374,"@AmazonHelp Si! Compré viernes en la noche y ayer lo recibí. (Menos de 24 horas!!) Súper amables, todo en orden y bien protegidas todas mis compras; fue la primera vez y seguro habrá muchas más. Mil gracias!!","@663156 ¡Con mucho gusto, Samy! Nos encanta leer que has recibido un buen servicio. 💕📦 ^VL",,,
75,1565913,@AmazonHelp It should be a public matter. I have tried of calling Amazon customer care but havent received my money back.,@483382 mentioned earlier please open the link that was provided earlier and respond there. We assist you further. 2/2 ^NK,,,
76,2872494,That feeling when you get books from @115821,@797537 Why did people stop going to the library? It was all booked! We hope that you enjoy your book! ^LS,,,
77,1384810,@AmazonHelp I have already request a return but they are not coming to collect,"@442246 Sorry about the delay with the pick up. We'd like a closer look, please share the details here: https://t.co/GIJyeYqKE0 ^MS",,,
78,2303008,@AmazonHelp .fr :),"@668272 Have you contacted our Customer Service to inform them of the situation?
^MD",,,
79,2921376,"@AmazonHelp If that's the case, why has everything else I ordered already arrived? Things I ordered at the same time!  I've run out of patience with you! 5 days late is totally unacceptable!!!! If you can't deliver it within the 2 days it shouldn't be available for prime shipping!","@397156 I'm so sorry that your parcel is late. I know it's frustrating! It's possible this item is coming from a fulfillment center outside of the UK. That, combined with the sheer volume of orders that the carriers are trying to cover this week, could explain the delay. ^SP",,,
80,334074,"@AmazonHelp I have provided the details, now u will escalate to the team & come back to me in 12-24-48 hrs. Same reply since 2weeks !!!!!","@183298 If the details  are shared, our team will reach out to you soon. Appreciate your understanding. ^HD",,,
81,350971,@115830 send me the best presents. https://t.co/3RukHLBlYS,@199502 :) We do try ;) ^AS,,,
82,2487071,@AmazonHelp Yes you took £450 for orders I did not make phoned you and told and have had to fight to get it back my Amazon account is suspended I cannot get on it and yet 1 more order was made and not by me I can't get on my account bank dispute set up and now your blocked from my bank,@710356 Have you received any emails from our Account Specialists? ^TE,,,
83,779296,@AmazonHelp Issue remains unresolved. cc @115851,"@306111 We'd like to help, kindly share your details here: https://t.co/GIJyeYqKE0, and we'll reach out to you soon. ^MA",,,
84,153599,@AmazonHelp Je peux les contacter a quelle adresse mail ?,@132727 via le lien suivant : https://t.co/HtUowg2UGX,,,
85,2975184,"AmazonでマイクロUSBのBタイプ注文したのにCタイプが届いてた
11月頭に到着予定だったはずなのに税関でひっかかって到着したのは今日…国外製は色々と雑すぎる",@820535 ご不便をおかけし申し訳ございません。該当の商品は、マーケットプレイスの出品者が販売・発送する商品でしょうか?その場合には、お手数ですが以下をご参照のうえ出品者までご連絡いただき、2営業日内の返答をお待ちください。https://t.co/bpqWb4Zbe4 YM,,,
86,1342547,@115821 has the worst delivery system. 3 attempted deliveries?? Why not just call me so I can walk outside to get my package?! @AmazonHelp,@432201 I'm sorry for the experience. What does tracking say who the carrier was here: https://t.co/Y5jpI9gRhE?,,,
87,2958629,"Los envíos que no llegan en un día, o tienen ""problemas en la red de distribución"" de @116928 comienzan a ser demasiados. Más teniendo en cuenta que soy usuario prime...","@816580 Hola J, sentimos las molestias. ¿Podrías confirmarnos si tienes un pedido pendiente de entrega? ^DA",,,
88,772756,@117093 after over 5 escalations you have been unable to consistently follow delivery instructions Delivery person isn't receiving them,"@304597 I'm sorry for the poor experience! When you reached out to us regarding this, what information was provided to you? ^JA",,,
89,1710157,"@AmazonHelp My package hasn't shipped and it's scheduled to arrive tomorrow, is there any way to check if it'll still be delivered on time?",@518123 We strive to meet the date shown on your confirmation e-mail. We'll send an e-mail as soon as it ships! Keep us posted! ^BN,,,
90,274870,@115850  U use to deliver things like Flash ⚡ but now it seems my order is moving like the White Walkers. Can you update me on my order ?,@181667 We always prepare ourselves when we receive an order. Could you let us know if we had a miss on your delivery?  ^VM,,,
91,136224,"@AmazonHelp Yes that's fine/great, but my issue is if I want to buy a replacement then I have to spend the £20 minimum again to get free shipping that I got on the original order e.g. Original £15+5, then refund £5, then buy £10 replacement means spending another £10 for free shipping",@146697 We'd like to look into this situation and explore available options with you! Please contact us via phone or chat at the following link:  https://t.co/JzP7hlA23B ^MW,,,
92,2911601,@AmazonHelp Can't find that info on Mobile. Can you direct me?,"@806012 Tap the 3 lines in the upper-right corner, tap Your Orders, then the order you're talking about. Scroll down the page a little and you'll see ""Shipped with [carrier]."" Please let us know if that helps! ^AM",,,
93,2470193,"Gracias @116316 desde argentina. 
Es una bestia @96109 @96110 @508303 @96111 @ https://t.co/9FL7g2qa7z",@706571 ¡No hay de qué! Diviértete jugando! ^UK,,,
94,495893,@AmazonHelp Would love to chat about this.  I was very dissapointed and also super dissapointed that I had to pay $30 to send it back.,@233281 We'd be happy to chat. Please reach us using the link provided by ^CS. ^NC,,,
95,1505384,@AmazonHelp seems like cod bonus codes are a problem according to @ATVIAssist. Can't get code redeemed.. Unexpected error and no support o/l,"@129010 I'm sorry you're having trouble redeeming your code! When you have moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC",,,
96,2880397,@115830 https://t.co/JzrBNM36lJ,"@799328 Hello Mike! Apologies for the trouble this has caused, is your order out for delivery again today? What does the tracking show https://t.co/Y5jpI9gRhE.^CN",,,
97,1497290,@115830 I have a package coming through Prime delivery supposed to be here today but it still says its preparing for dispatch?,@467638 Hey - It's not uncommon for orders to dispatch and be delivered the same day! Let us know if it's not received by 21:00! ^CS,,,
98,780857,@AmazonHelp was stimmt da mit euren Prime Lieferungen nicht? Immer öfter kommen die verspätet an. 😕 https://t.co/NDCNHpgXMU,"@306429 Oje, tut mir leid. Du kannst dich gerne melden: https://t.co/4d07vqreav Liebe Grüße ^TG",,,
99,129731,久しぶりアマゾン使った(๑˃̵ᴗ˂̵) https://t.co/1TGVndU9JG,@145248 ご利用いただきありがとうございました(*'ω'*) 商品の到着をお待ちください! EK,,,
100,1598918,For some reason I've just received some fake blood from @115830 though the package was supposed to contain a phone screen protector,@491045 Sorry to hear this Hannah - was it dispatched by Amazon or a Marketplace Seller ? ^TD,,,
101,219015,"@115821 @AmazonHelp Clicking on ""Start selling"" brings up the ""Looking for something?"" message.",@168218 Please try clearing your browsers cache and cookies. Are you getting the same error when trying from different browser/device?^CL,,,
102,2907824,@AmazonHelp Son vendedores externos. Influye en algo? Gracias por vuestra rápida respuesta!,"@805134 Lucía, gracias por el dato. En ese caso, si gustas puedes ponerte en contacto con el vendedor, el siguiente enlace contiene información detallada que explica cómo hacerlo: https://t.co/98g5F6KhqU
^CB",,,
103,652129,@AmazonHelp Hello! I canceled my Amazon prime on September 23rd and was told I would get the refund on my card in 3-5 days and it's still not there. Help?,@275069 Thanks for reaching out! We'd like to look into this with you by phone or chat. When you have a moment please get in touch with us here: https://t.co/Q7Ftz6nj80. ^KJ,,,
104,426144,@AmazonHelp スマホケースです。,@216360 アマゾン発送の商品の場合、原則として商品到着から30日以内の返品を承ります。(返品不可商品は除く) お客様都合の場合開封済みは50%減額返金になります。なお、出品者の商品の場合は、出品者へご確認ください。https://t.co/v4dngGbX0w SM,,,
105,1897737,@115850 OnePlus5 ordr due 4 delivry today cancelld abruptly by delivry boy saying not able to contct after makin me wait 4 2 hrs!#noDiwali,"@565601 I'm sorry for the inconvenience in delivering this order, call us here: https://t.co/vlvfJr4nN9
 & we'll get this sorted. ^MJ",,,
106,530862,@AmazonHelp The carrier is not shown on my orders How long before Amazon takes responsibility and responds without me needing to chase Obviously a big company who has no concern for the small customer who up to now has used Amazon a lot but now reconsidering further usage!!,"@242951 Thanks for clarifying, Richard. We don't intend to abandon your trust! Have you received a new delivery date for your order? ^JP",,,
107,2371390,@AmazonHelp Thank you,"@586959 Anytime, Dana! 😁  ^RR",,,
108,2614030,"@AmazonHelp I think I'm done with ordering ""Free next day prime"" due to it never arriving the next day.",@738977 Sorry to hear this. Are you waiting on an order to arrive? What date did you receive in your order confirmation email? ^ES,,,
109,2558473,@AmazonHelp My issue isn't sorted yet but you have the loveliest customer service adviser called Zara! Easy to talk to and gets to the point. Deserves some recognition :),@382025 Thanks for taking the time to let us know about Zara! I hope you have a great rest of your day! ^LR,,,
110,1357651,@AmazonHelp What is your definition of earliest @115850 @AmazonHelp Eternity ??,"@313517 We're working on your concern and I'm afraid we can't provide a stipulated time frame. I assure you, we'll revert soon. ^HA",,,
111,840429,garantiertes Lieferdatum? Hat wohl net so ganz funktioniert 😁 @116316 @AmazonHelp https://t.co/mQ6WHvgnzY,"@319982 Möglich, dass es sich um einen Anzeigefehler handelt. Hast du denn bereits eine Versandbenachrichtigung erhalten? ^DW",,,
112,2281528,Mission Accomplished. #SuperShieldz & @231586 car charger delivered at 3:45 pm est. Test fitted the tempered glass screen protector before actually installing. Then reset the hybrid case & cover. Everything fits like a glove. @AmazonHelp,@385916 Thanks for the update! We're glad to hear everything arrived and fits well! ^MB,,,
113,519743,"@115821 Prime and Ontrac in Seattle seem to be working 2+ days behind their promised deliveries. Early warning for Christmas deliveries, I suppose.","@239946 Hi Andrew, we aim to process orders quickly and with diligence so that we can get them to the carrier and then into your hands.  I apologize if we have missed the mark as of late. Do you have orders shipping in transit currently? ^CH",,,
114,1308049,@115821 continues to use a delivery service that has back to back lost the same package. Another company is hurting you.,@425660 I'm sorry your packages didn't arrive! Who was the carrier for these deliveries? ^AH,,,
115,1394543,@AmazonHelp Not received my order yet?,@444309 We have sent you a correspondence here: https://t.co/8DAc10S7ww. Please revert to the email for further assistance. ^BV,,,
116,141019,"@AmazonHelp I have been keeping eye everywhere Twitter, email, phone, website tracking,I mean currently getting my package delivered to me is 2nd priority,1st priority is ceeing wen&thru which medium @AmazonHelp @133929 will atleast update me of status or share some info of wats going on","@147812 As soon as we receive your details, we'll look into it and update you accordingly. ^AM",,,
117,2117458,@AmazonHelp To hell with your form. Send the latest product today or be prepared to pay dearly,@624098 Unless the form is filled we wouldn't be able to offer any further insight in this case. Thanks for understanding. 2/2 ^AB,,,
118,683098,"Dear Amazon.in, kindly see why my order has not yet been delivered even after 1 month. https://t.co/exmOVBRruH","@283020 From the screenshot shared I see this isn't a physical order. This is a digital order, please contact us here: https://t.co/YCbSDiRw9M. Please don't provide your details as we consider them to be personal information. Our Twitter page is public.  ^SH",,,
119,1897690,2. Now customer care said that they are unable to trace. Kindly refund the payment #AmazonIndia,@565588 take necessary actions to make things right. Appreciate your understanding. 2/2 ^MJ,,,
120,2855173,"@AmazonHelp All feedback I've left on damaged good couldn't be posted for some reason, but all positive feedback I've left in the past could, I'm basically getting ripped off after being assured it wouldn't happen again","@793641 We'd like a chance to take a look at this with you. When you have the time, please reach out to us via phone or chat here: https://t.co/hApLpMlfHN ^KP",,,
121,274061,@AmazonHelp so you can't help me out?,"@181486 If by helping you mean, gifting your brother an iPhone 8 on his birthday, I'm afraid not. ^AB",,,
122,2884122,"@AmazonHelp Amazon don't want to help, I have been on the chat with Amit and Patrick from your customer care and they refuse to engage with you nor will they identify themselves so I can connect people. Shame on Amazon.","@799928 I am sorry to hear this Paul. Can I ask, can you explain the issue without giving any sensitive account information so we can assist you further.^GA",,,
123,438650,Oye @137863 @116928 pagué de más para que el paquete llegase hoy ¿Va a llegar? Porque me consta que sólo trabajan hasta las 20:00,"@219234 Hola Hardy, ¿has contactado a @137863 directamente por teléfono para verificar lo que ocurrió con tu pedido?  ^DA",,,
124,11017,Hey @115821 What's the point of preordering a game if I don't get it until 5 days after release?,@118078 I'm sorry for the frustration! Did you select Release-Date Delivery at checkout? ^AC,,,
125,1497710,"@AmazonHelp Yes I know how to track a package, it says ""Delivery date pending"" and when I ordered it it said that it would be delivered tomorrow",@467738 Packages can be shipped and delivered on the same day. Let us know if you don't receive the package by tomorrow at 9PM. ^HM,,,
126,1511943,@115830 No shipping box just a label stuck to an item I bought. Was meant to be a gift I give so didn't check the gift tag. Not happy!,@470929 So sorry! You can check on replacing here: https://t.co/aaDyEz1VgE & learn about preventing this here: https://t.co/JZvi6jjGUP ^LB,,,
127,158846,@115850 8499 LEFT IN MY AMAZON PAY BALANCE. HOW CAN I REDDEM IT UNTIL MY AMAZON ACCOUNT UNHOLD.,@547065 If the account is on hold even customer service will not be able to assist. Please reply to the email for any insight.^SI,,,
128,2587373,plse include upi payment method in amazon@amazonIN,@733107 Thank you for the suggestion. I'll forward this to our concerned team internally and get it reviewed. ^RI,,,
129,1351766,Hey Amazon where's my copy of WWII I preordered in May lol,@435223 I'm sorry for the wait! Have we missed the delivery date confirmed via e-mail here: https://t.co/Y5jpI9gRhE ^LL,,,
130,2905156,@AmazonHelp It says today and it says it should of been delivered already,@243052 Oh no! What is the current tracking status for the book? You can check here: https://t.co/Y5jpI9gRhE ^VF,,,
131,1406115,"@115850 I wanted to gift an Echo Plus to a friend getting married on 18th Nov but it's out of stock! Any chance you guys could help, please?","@446840 The product detail page for the Echo plus shows as ""available for invite"" and doesn't indicate as out of stock. Could you please help us with link reflecting as out of stock? ^AP",,,
