id,conversation_id,brand,customer_message,agent_reply,intent,expected_action,expected_reason,resolved,label_status
62,2638410,AmazonHelp,@AmazonHelp Nope und bei keiner meiner kollegen. Ihr sollte mal dringend eurosport hinterfragen,"@744629 Du kannst dich gerne auch mal im Kundenservice melden, damit die Kollegen das überprüfen können. Gruß ^AN",technical_issue,ESCALATE,Eurosport not working for user/colleagues; needs check.,True,second_pass_reviewed
63,74786,AmazonHelp,@AmazonHelp  https://t.co/8xF9ZLGdiL,"@132737 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^HS",other,ESCALATE,Link-only tweet with no stated question.,True,second_pass_reviewed
65,282152,AmazonHelp,@AmazonHelp Tengo dos. Uno retrasado de ayer  y otro de hoy. Ninguno tiene pinta de que vayan a llegar. Incluso con confirmación de hora mediante.,"@183214 Entiendo Aimar, por favor contacta a nuestro Servicio al Cliente para reportar el inconveniente: https://t.co/OjvUxwnzPe. ^MB",delivery_issue,ESCALATE,Two timed deliveries look unlikely to arrive.,True,second_pass_reviewed
66,1290423,AmazonHelp,@115821 I'm a big fan but not of your recent customer service! Account was hacked last night. Wife has called 3 times and gotten run around!,@421773 I'm sorry to hear about this! Have you received any e-mail correspondence from one of our Account Specialists? ^JS,account_access,ESCALATE,Account hacked with repeated failed CS contacts.,True,second_pass_reviewed
77,1384810,AmazonHelp,@AmazonHelp I have already request a return but they are not coming to collect,"@442246 Sorry about the delay with the pick up. We'd like a closer look, please share the details here: https://t.co/GIJyeYqKE0 ^MS",refund_return,ESCALATE,Return pickup requested but collector has not come.,True,second_pass_reviewed
80,334074,AmazonHelp,"@AmazonHelp I have provided the details, now u will escalate to the team & come back to me in 12-24-48 hrs. Same reply since 2weeks !!!!!","@183298 If the details  are shared, our team will reach out to you soon. Appreciate your understanding. ^HD",complaint,ESCALATE,Two weeks of repeated escalate-and-wait replies.,True,second_pass_reviewed
85,2975184,AmazonHelp,"AmazonでマイクロUSBのBタイプ注文したのにCタイプが届いてた
11月頭に到着予定だったはずなのに税関でひっかかって到着したのは今日…国外製は色々と雑すぎる",@820535 ご不便をおかけし申し訳ございません。該当の商品は、マーケットプレイスの出品者が販売・発送する商品でしょうか?その場合には、お手数ですが以下をご参照のうえ出品者までご連絡いただき、2営業日内の返答をお待ちください。https://t.co/bpqWb4Zbe4 YM,refund_return,ESCALATE,Wrong USB cable type received after customs delay.,True,second_pass_reviewed
90,274870,AmazonHelp,@115850  U use to deliver things like Flash ⚡ but now it seems my order is moving like the White Walkers. Can you update me on my order ?,@181667 We always prepare ourselves when we receive an order. Could you let us know if we had a miss on your delivery?  ^VM,order_status,AUTO_HANDLE,Clear request for an update on a slow-moving order.,True,second_pass_reviewed
93,2470193,AmazonHelp,"Gracias @116316 desde argentina.
Es una bestia @96109 @96110 @508303 @96111 @ https://t.co/9FL7g2qa7z",@706571 ¡No hay de qué! Diviértete jugando! ^UK,other,AUTO_HANDLE,Spanish thanks/praise; no support action required.,True,second_pass_reviewed
95,1505384,AmazonHelp,@AmazonHelp seems like cod bonus codes are a problem according to @ATVIAssist. Can't get code redeemed.. Unexpected error and no support o/l,"@129010 I'm sorry you're having trouble redeeming your code! When you have moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC",technical_issue,ESCALATE,Game bonus code redeem fails with unexpected error.,True,second_pass_reviewed
106,530862,AmazonHelp,@AmazonHelp The carrier is not shown on my orders How long before Amazon takes responsibility and responds without me needing to chase Obviously a big company who has no concern for the small customer who up to now has used Amazon a lot but now reconsidering further usage!!,"@242951 Thanks for clarifying, Richard. We don't intend to abandon your trust! Have you received a new delivery date for your order? ^JP",delivery_issue,ESCALATE,Carrier missing from orders and customer chasing Amazon; frustrated delivery accountability.,True,second_pass_reviewed
109,2558473,AmazonHelp,@AmazonHelp My issue isn't sorted yet but you have the loveliest customer service adviser called Zara! Easy to talk to and gets to the point. Deserves some recognition :),@382025 Thanks for taking the time to let us know about Zara! I hope you have a great rest of your day! ^LR,other,AUTO_HANDLE,Positive recognition for agent Zara; no issue to resolve.,True,second_pass_reviewed
112,2281528,AmazonHelp,Mission Accomplished. #SuperShieldz & @231586 car charger delivered at 3:45 pm est. Test fitted the tempered glass screen protector before actually installing. Then reset the hybrid case & cover. Everything fits like a glove. @AmazonHelp,@385916 Thanks for the update! We're glad to hear everything arrived and fits well! ^MB,other,AUTO_HANDLE,Successful delivery and fit confirmation; positive update only.,True,second_pass_reviewed
117,2117458,AmazonHelp,@AmazonHelp To hell with your form. Send the latest product today or be prepared to pay dearly,@624098 Unless the form is filled we wouldn't be able to offer any further insight in this case. Thanks for understanding. 2/2 ^AB,complaint,ESCALATE,Threatens consequences unless latest product is sent today.,True,second_pass_reviewed
118,683098,AmazonHelp,"Dear Amazon.in, kindly see why my order has not yet been delivered even after 1 month. https://t.co/exmOVBRruH","@283020 From the screenshot shared I see this isn't a physical order. This is a digital order, please contact us here: https://t.co/YCbSDiRw9M. Please don't provide your details as we consider them to be personal information. Our Twitter page is public.  ^SH",delivery_issue,ESCALATE,Order undelivered for over a month; long-delay delivery investigation.,True,second_pass_reviewed
121,274061,AmazonHelp,@AmazonHelp so you can't help me out?,"@181486 If by helping you mean, gifting your brother an iPhone 8 on his birthday, I'm afraid not. ^AB",other,ESCALATE,Follow-up so you can't help me lacks original request context.,True,second_pass_reviewed
123,438650,AmazonHelp,Oye @137863 @116928 pagué de más para que el paquete llegase hoy ¿Va a llegar? Porque me consta que sólo trabajan hasta las 20:00,"@219234 Hola Hardy, ¿has contactado a @137863 directamente por teléfono para verificar lo que ocurrió con tu pedido?  ^DA",order_status,AUTO_HANDLE,Spanish customer paid for same-day arrival and asks if package will arrive today.,True,second_pass_reviewed
124,11017,AmazonHelp,Hey @115821 What's the point of preordering a game if I don't get it until 5 days after release?,@118078 I'm sorry for the frustration! Did you select Release-Date Delivery at checkout? ^AC,delivery_issue,ESCALATE,Preordered game arrived days after release; missed release-date delivery.,True,second_pass_reviewed
126,1511943,AmazonHelp,@115830 No shipping box just a label stuck to an item I bought. Was meant to be a gift I give so didn't check the gift tag. Not happy!,@470929 So sorry! You can check on replacing here: https://t.co/aaDyEz1VgE & learn about preventing this here: https://t.co/JZvi6jjGUP ^LB,delivery_issue,ESCALATE,"Gift item shipped with only a label, no box; packaging failure for gift.",True,second_pass_reviewed
127,158846,AmazonHelp,@115850 8499 LEFT IN MY AMAZON PAY BALANCE. HOW CAN I REDDEM IT UNTIL MY AMAZON ACCOUNT UNHOLD.,@547065 If the account is on hold even customer service will not be able to assist. Please reply to the email for any insight.^SI,account_access,ESCALATE,Wants to redeem Amazon Pay while account on hold; account-hold access is sensitive.,True,second_pass_reviewed
128,2587373,AmazonHelp,plse include upi payment method in amazon@amazonIN,@733107 Thank you for the suggestion. I'll forward this to our concerned team internally and get it reviewed. ^RI,product_question,AUTO_HANDLE,Feature request to add UPI as a payment method.,True,second_pass_reviewed
129,1351766,AmazonHelp,Hey Amazon where's my copy of WWII I preordered in May lol,@435223 I'm sorry for the wait! Have we missed the delivery date confirmed via e-mail here: https://t.co/Y5jpI9gRhE ^LL,order_status,AUTO_HANDLE,Asking where preordered WWII game is; routine where-is-my-order.,True,second_pass_reviewed
137,584629,AmazonHelp,@AmazonHelp Screen cap of shipping - I'm not in NY https://t.co/8uH6LEGMZR,"@257959 I'd like for my team to report this to our Transportation Team. Please send us further details, including the order ID, here: https://t.co/rAT0IAgYhz ^AB",delivery_issue,ESCALATE,Tracking shows NY routing though customer not in NY; misrouted shipment.,True,second_pass_reviewed
141,250019,AmazonHelp,hi @115850 payment issues..reg no is __email__..plz do reach me latest by tomrw https://t.co/CITv9pzCzt,@175405 Please don't provide your contact details as it is personal information. Our page is visible to the public.2/2^HN,payment_issue,ESCALATE,Payment issues with registration details shared publicly; billing needs secure channel.,True,second_pass_reviewed
148,1566763,AmazonHelp,@AmazonHelp Hi guys...still awaiting solution to my kindle issue,@483576 Could you please confirm if you've received any mail from our Kindle team? ^AU,technical_issue,ESCALATE,Still awaiting Kindle issue resolution; unresolved device problem.,True,second_pass_reviewed
149,536530,AmazonHelp,"@AmazonHelp I thought as much.
I tip my hat 🎩 to you good lady's and sirs","@244318 Aww aren't you sweet!❤️ Please fill in the form via the following link, we'd love to do something for you: https://t.co/tkLCr7DNil ^KI",other,AUTO_HANDLE,Polite thanks and tip of the hat; no issue.,True,second_pass_reviewed
155,385940,AmazonHelp,Hi @115850 u guys reverted back the Blackberry Keyone price to its original price. When can we expect the discount again.,"@207369 I understand your concern, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^JS",product_question,AUTO_HANDLE,Asks when Blackberry Keyone discount will return; pricing/availability question.,True,second_pass_reviewed
156,1033193,AmazonHelp,@AmazonHelp The cancellation has not been updated yet . I received a mail on the same,@364445 We'd like to take a closer look. Please connect with us here: https://t.co/vlvfJr4nN9. ^HK,cancellation_change,ESCALATE,Cancellation not reflected despite email; cancel status needs account check.,True,second_pass_reviewed
159,508213,AmazonHelp,"@115830 not happy with one of your couriers, left a parcel on my doorstep where anyone could have picked it up. To top it off left a note saying they'd left it with a neighbour.",@236687 Oh no! Let's talk about this in real time! Please call or chat with us here: https://t.co/5zGJTyV7jd ^BA,delivery_issue,ESCALATE,Parcel left on doorstep with false neighbor note; unsafe delivery practice.,True,second_pass_reviewed
167,1327755,AmazonHelp,Nervioso porque el #MarioOdissey que pedí a @116928 no me está llegando a la oficina y me voy a quedar sin plan todo el finde :(,"@429781 Hola Ivang, ¿que fecha estimada de entrega tiene tu pedido? ^MB",delivery_issue,AUTO_HANDLE,Spanish Mario Odyssey not arriving at office before weekend; late/missing delivery worry.,True,second_pass_reviewed
170,2876333,AmazonHelp,"@115850 Is this how you guys deliver stuffs, with security tags attached, and this is Prime+Amazon Delivery service!! https://t.co/4yVAnnk83e",@798481 I'm sorry for the error. Certainly this is not intended. Please connect with our support team here: https://t.co/2t6DQoUmNZ for assistance on it. ^RW,delivery_issue,ESCALATE,Prime delivery arrived with security tags still attached; fulfillment quality issue.,True,second_pass_reviewed
175,2613231,AmazonHelp,"@AmazonHelp At this point, I've requested a refund only to get a message asking me to return an item I've never received. 😡.","@738779 Hi, I'm sorry to hear this. What options did you choose when arranging the return on your account? ^KK",refund_return,ESCALATE,Refund requested but told to return item never received; conflicting return case.,True,second_pass_reviewed
178,2128964,AmazonHelp,@AmazonHelp on your site and it was on https://t.co/bhIFIxGsE4,"@626717 Got it! When you have the time, could you provide us with a link to the page you saw this so we could get it escalated? ^TK",other,ESCALATE,Fragment about something on site plus link; missing prior context.,True,second_pass_reviewed
180,5228,AmazonHelp,@115850 what about the illusion of quality?,@385266 I wasn't able to comprehend your concern. I would like you to elaborate so that we can help you accordingly. ^MK,other,ESCALATE,Vague what about the illusion of quality with no actionable detail.,True,second_pass_reviewed
181,425155,AmazonHelp,@119356 #PRIME delivery cancelled at the last moment. #Pathetic #Amazon @115821,"@216155 We're sorry for the experience you've had, Kishor. Kindly report this to our support team here: https://t.co/rS49hgaADF, and we'll have this checked. ^SM",delivery_issue,ESCALATE,Prime delivery cancelled at last moment; angry failed-delivery complaint.,True,second_pass_reviewed
182,2538875,AmazonHelp,@AmazonHelp Yes i get this laptop in https://t.co/RB2P37N08Z I didn't get it so I cancelled cuz I need to get one. The answer is: you're getting your money in your account back in 7 days even if it is our mistake,@422019 What were you advised by the agent when you asked him what happened to your order? ^SA,refund_return,ESCALATE,Cancelled undelivered laptop; seeking confirmation of refund timeline.,True,second_pass_reviewed
189,1178067,AmazonHelp,Is this the kind of new trick to scam people? Tnks for wonderful experience #AmazonGreatIndianFestival  #amazonprime #AmazonIndia #amazoncs https://t.co/QvFxRLTyUW,"@397060 Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 2/2",complaint,ESCALATE,Calls festival experience a scam; angry scam/service allegation.,True,second_pass_reviewed
190,1429497,AmazonHelp,Anyone else charged for @115830 PRIME even after cancelling subscription & @115821 can't just cancel it?,"@452018 Hello, I am sorry to hear about this. You can cancel and manage your subscription here:http:https://t.co/a4Yc9lKczA ^CR",payment_issue,ESCALATE,Charged for Prime after cancelling subscription; unauthorized billing.,True,second_pass_reviewed
193,2282996,AmazonHelp,"Comprei 9 livros na @117086 e, se eu não controlar essa ansiedade, termino tudo esse final de semana. #SeControlaGiovane","@144097 Olá! Não dá para se resistir, não é? Livros são só amor! Me diga, quando você receberá seu pedido? 🤔 ^CR",other,AUTO_HANDLE,Portuguese excitement about buying nine books; no support ask.,True,second_pass_reviewed
