example_id,customer_message,reply,evidence,expected_action,human_correctness,human_groundedness,human_helpfulness,human_tone,human_safety,judge_correctness,judge_groundedness,judge_helpfulness,judge_tone,judge_safety,judge_rationale,judge_needs_human
195,"@AmazonHelp Hey, why is money being deducted from my bank towards Amazon yet you closed my amazon account? Thought you said you're secure",[ESCALATED] weak historical match,@547065 If the account is on hold even customer service will not be able to assist. Please reply to the email for any insight.^SI,ESCALATE,5.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,"The response indicates escalation but lacks specific guidance or reassurance regarding the customer's issue, which could lead to further confusion.",True
10,@AmazonHelp @115851 see the example how they redirect there customer. Just make ur customers run. Dissapointed service u have. Y 2 stay with u then?,[ESCALATED] low intent confidence; weak historical match,"@385940 Oh no! This isn't what we like to hear. Without giving account/personal details, please let us know what's going on. ^BH",ESCALATE,4.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,"The response acknowledges the customer's dissatisfaction but lacks specific guidance or resolution, and the escalation is appropriate given the low intent confidence.",True
71,A minha vida com o Prime Video. Activar a conta que  a @115821 constantemente me cancela 😥 https://t.co/1xY4MFajSC,[ESCALATED] low intent confidence; weak historical match,"@132737 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^HS",ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,4.0,5.0,"The response acknowledges the customer's issue but lacks specific guidance or support, leading to a low helpfulness score.",True
12,@115821 when do I get the PS4 I ordered,[ESCALATED] low intent confidence; weak historical match,@118078 I'm sorry for the frustration! Did you select Release-Date Delivery at checkout? ^AC,AUTO_HANDLE,2.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not directly address the customer's inquiry about the PS4 order status and instead asks about the delivery option, which may not be relevant to the customer's concern.",True
146,"@AmazonHelp Hi MB, still no sign here. Order # 204-0202259-5682746. Thanks.",[ESCALATED] weak historical match,@483576 Could you please confirm if you've received any mail from our Kindle team? ^AU,ESCALATE,4.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response indicates escalation but lacks specific information or assistance regarding the customer's order, making it less helpful and grounded in the context of the inquiry.",True
20,@AmazonHelp os mando la incidencia por privado (soy bueno) 😉,[ESCALATED] low intent confidence; weak historical match,"@429781 Hola Ivang, ¿que fecha estimada de entrega tiene tu pedido? ^MB",ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,The response indicates escalation but lacks clarity on the customer's issue and does not provide any helpful information regarding the delivery inquiry.,True
45,@115850 worst cust service.Order still nt deliver.No info of tracking num.they jst focus on sale.Hardly matter seller is genuine or not.,[ESCALATED] weak historical match; requires human judgment,@181667 We always prepare ourselves when we receive an order. Could you let us know if we had a miss on your delivery?  ^VM,ESCALATE,5.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,"The response acknowledges the issue but lacks specific information or reassurance regarding the customer's delivery problem, indicating a need for human intervention.",True
154,@AmazonHelp Que pasa con mi paquete que me da una fecha luego otra de llegada?,[ESCALATED] weak historical match,"@183214 Entiendo Aimar, por favor contacta a nuestro Servicio al Cliente para reportar el inconveniente: https://t.co/OjvUxwnzPe. ^MB",AUTO_HANDLE,2.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,"The response acknowledges the issue but does not provide a direct answer or solution, leading to a weak match with the customer's inquiry.",True
134,@AmazonHelp Thank you,[ESCALATED] low intent confidence; weak historical match; requires human judgment,"@181486 If by helping you mean, gifting your brother an iPhone 8 on his birthday, I'm afraid not. ^AB",AUTO_HANDLE,2.0,2.0,1.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,"The response does not address the customer's gratitude and instead provides an irrelevant and negative comment, which is unhelpful and off-topic.",True
176,@AmazonHelp Not able to retrieve the password. Would be kind of u to respond in medsage box,[ESCALATED] weak historical match; security or high-risk language,@192570 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,ESCALATE,5.0,5.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,"The response does not adequately address the customer's issue and asks for sensitive information in a public forum, which raises security concerns.",True
177,Will today be the day the Amazon delivery driver figures out which house is ours on the street... not like we have a visible # or anything 🙄,[ESCALATED] weak historical match,@364445 We'd like to take a closer look. Please connect with us here: https://t.co/vlvfJr4nN9. ^HK,ESCALATE,4.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,"The response acknowledges the customer's concern but lacks specific guidance or solutions to improve delivery issues, and the tone is somewhat neutral but could be more empathetic.",True
31,@AmazonHelp Please read this conversation thread. We've been through this already,[ESCALATED] low intent confidence; weak historical match,"@738779 Hi, I'm sorry to hear this. What options did you choose when arranging the return on your account? ^KK",ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,"The response acknowledges the customer's frustration but lacks specific guidance or resolution, leading to a low helpfulness score.",True
200,@AmazonHelp apparemment vous êtes très actif sur Twitter j'aimerais voir ça 🤔 https://t.co/zLLSX8l5ws,[ESCALATED] requires human judgment,"@132737 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^HS",ESCALATE,4.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,"The response correctly identifies the need for privacy regarding personal information, but it lacks direct engagement with the customer's comment about Twitter activity.",True
88,@117093 after over 5 escalations you have been unable to consistently follow delivery instructions Delivery person isn't receiving them,[ESCALATED] weak historical match,@382025 Thanks for taking the time to let us know about Zara! I hope you have a great rest of your day! ^LR,ESCALATE,4.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,The response acknowledges the escalation but lacks specific details or solutions to address the customer's ongoing issue with delivery instructions.,True
84,@AmazonHelp Je peux les contacter a quelle adresse mail ?,[ESCALATED] low intent confidence; weak historical match; requires human judgment,@364445 We'd like to take a closer look. Please connect with us here: https://t.co/vlvfJr4nN9. ^HK,AUTO_HANDLE,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not provide a direct answer to the customer's question about the email address and instead redirects them to a link, which may not be helpful for their specific request.",True
108,"@AmazonHelp I think I'm done with ordering ""Free next day prime"" due to it never arriving the next day.",[ESCALATED] weak historical match,@461006 Please contact us via phone or chat so we can explore available options with you:  https://t.co/hApLpMlfHN ^MW,ESCALATE,4.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,4.0,5.0,"The response acknowledges the issue but lacks specific assistance or resolution options, making it less helpful.",True
69,@AmazonHelp No same message appears. 😩,[ESCALATED] low intent confidence; weak historical match,@169701 You must have received a correspondence from us on this. Please find it here: https://t.co/ubzNHWZvL2. ^YP,ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,The response indicates escalation but lacks clarity on the issue and does not provide sufficient context or assistance to the customer.,True
94,@AmazonHelp Would love to chat about this.  I was very dissapointed and also super dissapointed that I had to pay $30 to send it back.,[ESCALATED] low intent confidence; weak historical match; requires human judgment,@624098 Unless the form is filled we wouldn't be able to offer any further insight in this case. Thanks for understanding. 2/2 ^AB,ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,The response acknowledges the need for escalation but lacks specific guidance or empathy towards the customer's disappointment regarding the return fee.,True
1,@AmazonHelp commande devant arriver hier(précommandé en octobre)j'ai contacté amazon mon colis sera relivré lundi en espérant que le transporteur trouve,[ESCALATED] weak historical match,"@219234 Hola Hardy, ¿has contactado a @137863 directamente por teléfono para verificar lo que ocurrió con tu pedido?  ^DA",ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,"The response acknowledges the issue but lacks specific guidance or reassurance for the customer, and the historical match is weak.",True
119,2. Now customer care said that they are unable to trace. Kindly refund the payment #AmazonIndia,[ESCALATED] weak historical match,@215477 Thank you for replying to the email and we shall get back to you soon. ^SH,ESCALATE,4.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,The response indicates escalation but lacks specific details or reassurance for the customer regarding their refund issue.,True
32,@115850 My prime membership is going to expire on Nov 16. Can I buy membership before expiration date?,[ESCALATED] weak historical match,@181667 We always prepare ourselves when we receive an order. Could you let us know if we had a miss on your delivery?  ^VM,AUTO_HANDLE,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not directly address the customer's question about renewing their prime membership, leading to a weak historical match and lack of helpfulness.",True
132,"@AmazonHelp This is crazy,now says my package will arrive 12th october,it was put on the carrier last Thursday,how long does it take from n?",[ESCALATED] weak historical match,"@242951 Thanks for clarifying, Richard. We don't intend to abandon your trust! Have you received a new delivery date for your order? ^JP",AUTO_HANDLE,2.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,The response does not directly address the customer's concern about the delivery date and lacks specific information about the package's status.,True
43,@AmazonHelp My book is becoming unbound and it is really bad where I feel like the cover is coming off. I'm lost about how to proceed,[ESCALATED] low intent confidence; weak historical match,@181667 We always prepare ourselves when we receive an order. Could you let us know if we had a miss on your delivery?  ^VM,ESCALATE,4.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not address the customer's issue about the book's condition and instead focuses on delivery, which is irrelevant to the problem presented.",True
6,"@AmazonHelp Seems dey are not willing to help. Ive a response from them asking to send the modem over to Mumbai. Will that help?
https://t.co/zM2SFGmnTd",[ESCALATED] low intent confidence; weak historical match; requires human judgment,@192570 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,ESCALATE,4.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,5.0,"The response acknowledges the customer's issue but lacks specific guidance or reassurance regarding the modem situation, indicating a need for human intervention.",True
103,@AmazonHelp Hello! I canceled my Amazon prime on September 23rd and was told I would get the refund on my card in 3-5 days and it's still not there. Help?,[ESCALATED] weak historical match,"@626717 Got it! When you have the time, could you provide us with a link to the page you saw this so we could get it escalated? ^TK",ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,"The response acknowledges the issue but lacks specific guidance or reassurance regarding the refund process, and the escalation is not clearly communicated to the customer.",True
131,"@115850 I wanted to gift an Echo Plus to a friend getting married on 18th Nov but it's out of stock! Any chance you guys could help, please?",[ESCALATED] low intent confidence; weak historical match,"@181486 If by helping you mean, gifting your brother an iPhone 8 on his birthday, I'm afraid not. ^AB",AUTO_HANDLE,2.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not address the customer's request for assistance with the Echo Plus and instead references an unrelated historical case, which may confuse the customer.",True
130,@AmazonHelp It says today and it says it should of been delivered already,[ESCALATED] weak historical match,"@626717 Got it! When you have the time, could you provide us with a link to the page you saw this so we could get it escalated? ^TK",AUTO_HANDLE,2.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,"The response acknowledges the issue but lacks specific guidance or reassurance for the customer, and the escalation seems weakly justified.",True
166,@115830 how do I return faulty goods? Bought a pair of #rocketdog boots in September and the buckle is already broken #nothappy,[ESCALATED] weak historical match,"@442246 Sorry about the delay with the pick up. We'd like a closer look, please share the details here: https://t.co/GIJyeYqKE0 ^MS",AUTO_HANDLE,2.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not directly address the customer's inquiry about returning faulty goods and lacks specific guidance, leading to a weak match with the historical evidence.",True
91,"@AmazonHelp Yes that's fine/great, but my issue is if I want to buy a replacement then I have to spend the £20 minimum again to get free shipping that I got on the original order e.g. Original £15+5, then refund £5, then buy £10 replacement means spending another £10 for free shipping",[ESCALATED] weak historical match,@422019 What were you advised by the agent when you asked him what happened to your order? ^SA,ESCALATE,4.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not address the customer's specific concern about shipping costs and lacks relevant information or assistance, leading to a low score in correctness and helpfulness.",True
39,@AmazonHelp Thanks. Am i correct that these are TV series rather than any films?,[ESCALATED] low intent confidence; weak historical match,@192570 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,AUTO_HANDLE,2.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not directly address the customer's question about whether the content is a TV series or films, and instead asks for details without providing relevant information.",True
